Time Since Last Major Merger [Gyr],Stellar Mass [Msun],Star Formation Rate [Msun/year]
12.445128288561726,15544721000.0,0.0
11.007950132808551,29272564000.0,0.0
12.445128288561726,24744806000.0,0.0
7.790641621123915,7369315000.0,0.0
12.62066479053492,13407530000.0,0.11045123
11.317040961531216,27896037000.0,0.0
9.155686374365665,13536016000.0,0.47551575
12.259335340432735,10170435000.0,0.5948853
12.361172370658442,10463178000.0,0.0
9.389280682850275,11825558000.0,0.0
11.164723670049517,25861163000.0,0.0
9.927159031249541,6085429000.0,1.1633639
12.182845139342968,12667773000.0,0.0
7.127191011932116,3261752800.0,0.098395914
12.977660855576497,21867108000.0,0.0
10.860805387276077,5614360000.0,0.15093096
4.453332039958984,8125520000.0,0.0
13.8,25371433000.0,0.0
12.182845139342968,16509612000.0,0.0
7.314853196564866,10843066000.0,0.0
10.08306113048199,11613479000.0,1.2807658
12.977660855576497,17046338000.0,0.17550848
12.445128288561726,5443634000.0,0.9839398
7.58136440778197,14198998000.0,0.0
6.673014217597258,2141927800.0,0.73658806
6.980874466634759,2043731000.0,0.86516815
13.010124756583885,12052301000.0,0.0
11.472636476156387,3416702000.0,0.6375705
12.03103276926692,2974402600.0,0.30980977
10.71425401075792,13126902000.0,0.0
12.804875891454154,5979045000.0,0.0
8.688041270237903,2121280500.0,0.1879024
10.860805387276077,5565632500.0,0.2638608
10.555201291724902,12221696000.0,0.0
10.860805387276077,492694370.0,0.19005531
7.9502325963702285,1330146400.0,0.25936085
9.927159031249541,14867408000.0,0.0
9.462953435380172,12006250000.0,0.0
12.894981355405132,10683574000.0,0.0
12.77131608967524,3580607700.0,0.026824815
7.9502325963702285,11290444000.0,0.0
12.445128288561726,5264615000.0,0.1990669
6.829554589521824,15039276000.0,0.0
6.673014217597258,3865496800.0,0.0
9.462953435380172,3252917500.0,0.13694344
12.03103276926692,2347410200.0,0.44873497
12.259335340432735,8964342000.0,0.0
6.980874466634759,10182149000.0,3.824987
10.71425401075792,1622828400.0,0.17103222
5.74003950188497,2138668900.0,0.04476777
12.698000090258516,6091782700.0,0.0
8.841999739310914,1018149200.0,0.025956782
12.445128288561726,4944640000.0,0.4307505
12.361172370658442,4207182600.0,0.7217245
7.790641621123915,4173157400.0,0.0
11.164723670049517,10414341000.0,0.0
9.155686374365665,5068337700.0,0.0
12.62066479053492,913439360.0,0.4577164
7.58136440778197,8066726000.0,0.0
9.78178393942305,4013915600.0,0.004606639
11.766835879457043,2147693000.0,0.38496742
12.445128288561726,12716070000.0,0.0
0.4081416012413021,3702124300.0,0.00046400152
9.155686374365665,2345907700.0,0.0
13.8,6126897700.0,0.0
13.8,12700854000.0,0.0
11.164723670049517,9404794000.0,0.0
9.627308552926124,9239184000.0,0.0
11.564820529584908,3767415300.0,0.0
