SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
8.633096,0.004816242
1.8035872,0.005087176
5.8143,0.014417972
0.0,0.008811415
0.8441416,0.0040646256
0.9297296,0.0061563454
0.2433972,0.0056276917
0.0,0.004746317
0.50611013,0.0076561593
0.21453677,0.00712175
0.9065286,0.00467791
2.3298855,0.0055173067
0.111830704,0.00604166
0.2864399,0.0055016754
0.48989856,0.011417976
0.43556586,0.005545956
0.28554744,0.005481467
0.19714132,0.0062613995
0.0,0.014206152
0.0,0.009120297
0.07165577,0.0063948487
0.30099472,0.0045704516
0.0,0.0062193633
0.07204189,0.005732523
0.29219413,0.0033164755
0.22716993,0.00654135
0.020180404,0.009736357
0.54995465,0.005804948
1.0713037,0.005812676
0.3325199,0.004990753
0.28066254,0.0049433983
0.58551687,0.0034008035
0.28428853,0.0050662616
0.6624605,0.0037313038
0.43266532,0.0045734816
0.19803272,0.0060659377
0.52820456,0.005587761
0.13703957,0.004817444
0.20809452,0.0058221975
0.4053526,0.006160998
0.3173409,0.009269262
0.22847809,0.0064133354
0.0,0.05419342
0.0,0.0077979616
0.0,0.017457979
0.730332,0.0051667253
0.029330013,0.0071276324
0.90357286,0.003866163
10.089275,0.020966051
0.79676336,0.008262006
0.30714846,0.005853625
1.254684,0.0019838184
0.038521044,0.006583638
0.89355195,0.00324548
0.2571953,0.0057884003
0.21005036,0.0051155873
0.0,0.006919457
0.6496042,0.0038473695
0.0,0.0069934824
0.0,0.008098653
0.46189463,0.004493875
0.0,0.006224661
2.119541,0.0057934234
0.3315017,0.0042587933
0.38231206,0.0047305725
0.13377997,0.0054455865
0.41459525,0.0041916007
0.08936356,0.007914419
0.16297147,0.005978182
0.7405228,0.0048368075
0.3453637,0.0054036253
5.7028136,0.0055168965
0.3132266,0.0044514732
0.418574,0.0047815065
0.8549498,0.0054746787
0.8031028,0.0058636605
0.3967103,0.005183961
0.69055766,0.0042728293
0.4959953,0.00500221
0.91756195,0.003346139
0.36469337,0.004802997
0.7454119,0.006434022
