SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
0.06993987,0.008760623
0.13624664,0.005875448
0.86040044,0.004896749
0.44471428,0.005309459
0.23232758,0.0043092337
0.35139987,0.0056623695
0.10046203,0.0053808787
0.70293635,0.005096746
0.9560036,0.0065085473
1.326822,0.009652047
1.2798344,0.0034519709
1.8179022,0.0044001066
3.2270133,0.013640757
0.16703424,0.0053336825
0.0,0.0056086015
1.3225288,0.0039964616
0.3989863,0.0040246295
0.9612181,0.005657185
1.3120894,0.0043953336
0.78341985,0.0039011256
0.20844401,0.0054117264
1.0187575,0.0050351187
0.3760832,0.0072238566
0.339701,0.006268346
1.3541733,0.0085211
0.3948278,0.005972322
0.8328862,0.0041077817
0.931002,0.005269962
0.7112678,0.0040213726
0.31450978,0.005539753
1.4399005,0.005009347
1.0296988,0.0051126787
0.0,0.034056306
0.25720873,0.0040626978
1.566096,0.0034992078
1.6655753,0.008493765
3.6141663,0.00811372
0.99065244,0.0042429557
0.5974543,0.005434254
0.012255308,0.038356554
0.67147374,0.0047744494
1.1049627,0.004859304
0.83993053,0.0072699524
0.2703155,0.0064402153
0.59476316,0.0057555125
0.6610116,0.0054671727
0.11435293,0.010263907
0.73159117,0.009162967
0.32227954,0.006507011
0.815065,0.0034692988
0.8890783,0.0041453964
0.8710944,0.003910634
0.34693074,0.0062488522
0.17957681,0.007188044
1.0446131,0.005251882
3.184212,0.0053746463
0.0,0.06216845
0.10816595,0.013238781
0.0,0.008783473
0.56069326,0.0033400394
0.8572954,0.0053882995
0.28764763,0.0064483425
0.8381283,0.0061022756
0.48410317,0.004550634
0.5895761,0.004684831
0.6201472,0.0042802915
1.3981824,0.004419808
2.6911507,0.004425161
1.228831,0.0050552585
1.0581771,0.0047622886
0.55694443,0.004860765
0.8040296,0.005626696
0.5297243,0.0060733557
0.16766505,0.005937213
0.5725996,0.004832289
0.5895353,0.00718695
0.87901115,0.005068715
11.323413,0.012290583
0.45686108,0.005340855
0.57808065,0.005269609
0.9191415,0.0066001886
0.9747949,0.003913256
0.18029748,0.0070441524
0.18497851,0.0053057796
0.3806299,0.0059559615
0.6187846,0.0064493627
7.4072766,0.008276221
1.5940878,0.0058843656
0.80600643,0.005009287
1.6476619,0.0033716892
0.4730739,0.0050217463
0.9427994,0.004766559
1.5266366,0.0069615087
0.5706643,0.0051512453
0.8558804,0.0045078527
0.9692729,0.0044848677
2.981243,0.011975321
1.121072,0.0041621993
0.88041455,0.0050133304
0.8170831,0.0042530876
0.5057654,0.00438671
0.2452207,0.006926958
0.66884196,0.00477195
0.48677173,0.0046107247
0.77757806,0.006827506
0.85643834,0.00404329
1.2121694,0.005114148
1.2516466,0.009466478
0.79195595,0.00448991
3.0001054,0.0055377553
1.0696522,0.004381353
1.4467216,0.006016452
2.2337456,0.007671436
0.39544138,0.006550571
1.4020394,0.004212573
0.7333788,0.018181292
1.4943697,0.0030044229
0.7767978,0.0056164223
1.4670349,0.0051770285
1.008275,0.0039831526
0.50796956,0.005905026
0.5345622,0.005774318
0.32319528,0.005455207
0.9226523,0.0074918475
0.4065932,0.0048406697
0.49162105,0.004523198
1.3193309,0.0062283273
0.77872235,0.004154466
3.2690334,0.005397482
0.8041582,0.0058175437
0.43095592,0.005755179
0.6973453,0.004941214
0.9652179,0.0060177622
0.6355861,0.004415459
0.62317663,0.0057146535
0.96029377,0.0054495865
0.47289583,0.0034128882
1.376113,0.0058644963
0.81146157,0.005568027
0.319545,0.0054469947
0.6542261,0.004885547
1.4589416,0.00585789
1.1407045,0.0041296356
0.4588146,0.0054568225
3.1829815,0.0050940034
0.9956123,0.0029472348
0.47981802,0.01076926
0.31658536,0.0053570066
0.7677822,0.005743343
0.25625944,0.005417799
0.9119838,0.0042932606
0.70869225,0.0059083933
0.7741229,0.006340101
0.33067048,0.008818055
0.56531495,0.005336926
0.41864446,0.0048181815
0.5957725,0.00462562
0.6739327,0.00432873
0.6941,0.0068473923
0.7698302,0.0059252204
1.4839808,0.0021385679
0.37164238,0.0059191035
0.51843923,0.0063736555
0.62545484,0.0055056727
0.39943364,0.0053537264
0.47932708,0.004654122
0.70970523,0.0043559778
1.1462306,0.0049814745
0.3141157,0.0044012354
0.51752245,0.0054805693
0.11353276,0.006744244
0.60643446,0.0054339077
0.6592818,0.0053798473
0.20648919,0.0067038476
0.6644981,0.004745429
0.11217744,0.0074693346
0.53573626,0.005298142
0.513175,0.0050209616
0.22862865,0.0058190958
0.6361546,0.005464623
0.63908273,0.0013410766
0.60021365,0.004423022
0.5152098,0.00751861
0.29532868,0.006281058
0.48083764,0.0052947234
0.5906785,0.008277523
0.8229815,0.0055081476
0.5010049,0.004403981
0.38187906,0.007777572
0.5158952,0.0059805512
0.9780081,0.003802839
0.73729485,0.0048675495
0.58730453,0.0034818018
0.5562681,0.003941805
0.42463762,0.004452034
0.73162204,0.0041815923
1.1898866,0.0033416857
1.7539891,0.0047672056
0.57346094,0.0051073222
1.15611,0.002463529
1.3323289,0.0031244808
0.62120837,0.0053374334
0.70987445,0.004801508
1.024296,0.003497272
0.6026711,0.005491778
0.5697377,0.005059003
1.5280144,0.0051858337
0.5603954,0.005235187
0.7737683,0.004086959
0.5450375,0.0041946643
1.6703571,0.0036414447
0.68432575,0.0033048969
0.013392314,0.007060398
0.49740142,0.0059181578
0.5132451,0.006734692
0.57825625,0.0057655335
0.46133077,0.0052768416
1.1780398,0.003606858
0.6990127,0.0046615624
0.6130155,0.0036364791
0.69130945,0.0033122825
0.36695606,0.0034241888
0.5853677,0.0059134983
0.38492894,0.005130958
0.87868696,0.0034161478
0.83884877,0.0038351694
0.5355622,0.0063372888
1.0577482,0.0059147957
0.57472306,0.008884901
0.6759428,0.0059257844
0.67850137,0.0053002327
0.7143135,0.0036325094
0.78005517,0.004029478
0.8002671,0.0029188024
0.35569596,0.006619931
0.6611998,0.0048585357
0.21212153,0.00639039
0.3628235,0.006763417
0.6079012,0.0034821138
1.0519351,0.0072875097
0.77718884,0.0049293684
0.5474404,0.0046538957
0.35901248,0.0037950925
1.694403,0.006523379
0.8994027,0.0031955189
1.0987645,0.0068762503
0.4590992,0.006167493
0.89485633,0.0069604935
0.647906,0.0048319227
0.75864244,0.0047655297
0.60487425,0.007248825
0.3608387,0.0048259576
0.32076964,0.0026646208
0.6772308,0.0060236747
0.84210414,0.003759792
0.8799284,0.002826654
0.957911,0.0032260288
0.7759531,0.004842049
1.3021386,0.0035983273
0.37487617,0.0096126245
0.6137538,0.0028154592
0.45987102,0.0036139202
1.1152896,0.005239608
0.5275964,0.0077382457
0.9794392,0.0051957406
0.5586491,0.0045558773
1.4376094,0.0048868516
0.7328933,0.005758468
1.0561441,0.0035297584
0.6963833,0.0040466096
0.42650464,0.0053842394
0.8319888,0.0035492377
0.88368607,0.0030881418
0.5674461,0.0056549683
1.6952707,0.006143003
0.28907874,0.0061902613
0.5599748,0.003149501
0.5172309,0.0047820737
0.5366952,0.0049587907
0.44206482,0.0051997947
0.5427444,0.005251728
1.6952754,0.0052524186
0.5870388,0.0048443
0.763738,0.003914662
1.0792272,0.0052777645
0.48474973,0.005113047
0.59831357,0.005288328
1.456419,0.0029902116
0.54316336,0.0041058175
0.553073,0.005332997
0.8890189,0.0039606798
1.1409035,0.0060425987
0.5250107,0.0023750938
1.2599697,0.0023419522
0.762524,0.004043392
2.3925173,0.0026502905
0.8421757,0.004446332
1.0416492,0.0028862858
0.6391039,0.0047743376
0.5717337,0.0052748458
1.849213,0.00606486
0.6129574,0.0064528557
1.0006331,0.003876567
0.672221,0.004426751
0.5474731,0.0049877414
0.45761234,0.007071294
1.3576503,0.0028488867
0.52784026,0.0050772913
1.115089,0.00625199
1.1323861,0.008197948
1.1461757,0.0060840757
0.59204495,0.0043596397
0.7085526,0.0035248792
0.7493839,0.004711637
0.4717242,0.0075272135
1.0661392,0.0053532524
0.56027603,0.005018311
0.9179466,0.0038020036
0.81935686,0.00601408
0.71642995,0.0051592365
1.326192,0.0026616917
0.828357,0.005189814
0.56451446,0.004829074
1.4565523,0.0046108398
0.5966454,0.005786977
1.4846272,0.0069817523
0.6868619,0.004481283
0.758874,0.0040948507
1.794211,0.003239599
0.63064855,0.0042120903
1.5582346,0.0028304083
0.7484689,0.004996895
0.92829376,0.005805643
0.46918535,0.005168348
0.8625906,0.0046620728
0.8268898,0.0038639284
0.74288946,0.0026031686
