Time Since Last Major Merger [Gyr],Number of Major Mergers,Number of Minor Mergers,average stellar age [Gyr]
4.291913083776049,4.0,3.0,6.710694467392952
11.007950132808553,5.0,3.0,7.887328418520066
2.841325664222045,20.0,4.0,7.0995625860238984
7.1271910119321165,2.0,1.0,7.578938718872406
0.13786721139611363,8.0,4.0,3.923977841240575
5.060286141005806,4.0,8.0,5.080276548755263
6.343349487178175,7.0,7.0,7.773907857873422
0.13786721139611363,3.0,3.0,5.931797945328262
7.314853196564868,5.0,4.0,7.203534328519446
11.903627662592406,5.0,2.0,6.752102259703933
4.61076233003753,6.0,4.0,4.740005216838693
12.55480493374341,4.0,8.0,6.599017315367289
3.693728374563479,6.0,2.0,6.307709650290187
1.2972064222772546,11.0,5.0,6.45409029273654
13.010124756583883,2.0,6.0,9.655714150697047
9.155686374365665,3.0,5.0,7.348745640766195
12.445128288561726,1.0,8.0,8.389591502581235
8.21393431111962,8.0,5.0,6.4409369091869975
5.866461537501614,3.0,1.0,8.132023517395062
12.182845139342968,3.0,4.0,7.734279492989133
12.62066479053492,2.0,1.0,7.5711346766054275
10.228946019806829,3.0,3.0,7.798188142166178
11.766835879457043,3.0,3.0,9.044572980405691
1.4173900744546557,2.0,5.0,6.838795344557375
6.343349487178175,5.0,7.0,5.397776544145765
4.764322389615255,2.0,4.0,8.578663845658085
8.688041270237905,6.0,2.0,9.556509960759652
8.841999739310916,3.0,3.0,8.97357284399269
2.4291292845389068,5.0,2.0,4.497516977956405
3.693728374563479,9.0,2.0,6.74676320348392
0.9266483383810105,14.0,4.0,7.349388179166499
11.164723670049518,1.0,4.0,9.327884329210146
12.445128288561726,5.0,3.0,7.678134037463025
3.512781268699348,7.0,6.0,7.923153095719394
6.2282824636046845,6.0,4.0,8.175799718082477
11.007950132808553,3.0,5.0,7.424845360518321
11.317040961531216,3.0,1.0,9.964007807723434
3.039446653941879,4.0,1.0,7.13919640158385
5.740039501884972,2.0,2.0,10.335785658616736
8.06560019250075,6.0,4.0,6.063825967541853
1.7683145868784629,2.0,6.0,5.7102627867984665
4.126382949614405,4.0,4.0,9.173397059528444
10.71425401075792,4.0,4.0,8.995170681576141
8.559304846246299,7.0,4.0,7.588293865459211
8.559304846246299,2.0,3.0,8.103067414665691
4.61076233003753,2.0,6.0,8.33028491306063
11.164723670049518,3.0,3.0,6.099201805094731
10.083061130481992,7.0,2.0,6.141239843968009
7.314853196564868,6.0,5.0,6.449470800501783
11.903627662592406,2.0,3.0,7.754425002653257
10.398502407966777,8.0,3.0,9.112197542423825
1.0518636497159117,3.0,4.0,6.0077585776525435
3.9566148760250575,12.0,4.0,8.071656373321568
13.14922900936169,2.0,1.0,8.537566846266586
2.841325664222045,3.0,2.0,6.805825608358905
10.228946019806829,9.0,5.0,7.890283243068847
13.14922900936169,2.0,1.0,6.925677711581167
13.8,0.0,0.0,6.867396076418917
4.61076233003753,5.0,5.0,6.108210710962767
1.8821674208090837,6.0,4.0,5.761600784070588
3.693728374563479,4.0,1.0,5.552156736904676
8.559304846246299,5.0,2.0,6.653455505117682
13.8,0.0,3.0,9.89740870169581
7.1271910119321165,4.0,3.0,8.004279269774173
1.6529178379808374,8.0,4.0,8.93341707004944
8.841999739310916,5.0,5.0,5.76387697640882
12.031032769266922,4.0,4.0,7.896002357881999
8.06560019250075,4.0,5.0,7.112132853561728
4.453332039958986,5.0,4.0,6.429189869107626
0.7996985537050032,14.0,6.0,6.730040756815322
13.8,0.0,5.0,7.871447959459748
9.78178393942305,6.0,2.0,8.339670714895266
2.4291292845389068,9.0,4.0,4.794854336479627
3.693728374563479,7.0,6.0,6.758640893770974
12.698000090258518,2.0,5.0,9.630118755821684
7.790641621123916,4.0,3.0,7.6901347045193695
11.903627662592406,3.0,6.0,9.706856183788732
2.5342256999883768,12.0,7.0,6.636041904437504
