g band,r band,average stellar age [Gyr],prob spiral
-20.749968,-20.756065,11.638806601318189,8.747698e-08
-21.06096,-21.122025,11.547926625547802,0.7068903
-23.326672,-23.268023,11.45230997841729,0.24182534
-21.732357,-21.75494,11.58048996339527,0.10841903
-20.2865,-20.280027,11.415057023290464,4.804943e-07
-23.83201,-23.901098,11.50031776022498,0.30333805
-18.841682,-19.048504,11.619893843028649,0.0010213852
-23.78664,-23.773136,11.441503082543871,0.5601067
-22.819931,-22.712011,11.137310136699439,0.8331266
-23.80994,-23.814339,11.663833790613516,0.4939021
-20.678566,-20.724964,11.70645085496603,0.0002606511
-22.871096,-22.911282,11.680109629943498,0.1888586
-22.649635,-22.65757,11.554451537054877,0.48660284
-23.449963,-23.534807,11.983857539645081,0.36373183
-21.336832,-21.44346,11.751894031875603,0.0023964942
-20.769897,-20.779522,11.447684414736996,6.7043625e-06
-23.722975,-23.837969,11.84335041218683,0.26227608
-22.490932,-22.425982,11.370341004053241,0.5906323
-21.20148,-21.162989,11.397529840314574,0.5955397
-23.025524,-23.101017,11.757282025524534,0.6751745
-21.637772,-21.673685,11.707828381421423,0.30538043
-19.904501,-19.890972,11.522638934167716,0.5926815
-22.85293,-23.073507,12.342732059427773,0.42788666
-19.94822,-19.92417,11.391483900054595,0.006687492
-19.736168,-19.76419,11.61379333474124,0.0139706135
-23.819935,-23.92174,11.86560945286015,0.594551
-23.56009,-23.65659,11.718859387584253,0.2656687
-20.891401,-20.79262,11.21702525029102,0.010501683
-22.679256,-22.718351,11.59164561081624,0.28925553
-20.966236,-20.939064,11.547433170171844,0.6479917
-20.098963,-20.081661,11.493545297558548,0.00040635467
-23.622759,-23.62669,11.414014367659174,0.685993
-20.490818,-20.495527,11.496571529320395,0.0036897063
-23.014526,-23.061089,11.464793548322499,0.7360289
-21.739237,-21.805319,11.716989190314228,0.1612454
-20.00529,-19.972572,11.421825485964558,0.74201757
-23.537115,-23.559456,11.429871253559687,0.42495224
-23.228325,-23.23642,11.495941341098813,0.27041584
-23.36926,-23.414974,11.574891472145332,0.68799067
-23.116869,-23.264267,11.826457868308088,0.5707746
-20.515095,-20.499723,11.498586925307604,0.7576343
-23.225996,-23.406878,12.036789410478796,0.18031678
-22.753769,-22.791342,11.723834056930082,0.5636899
-20.682938,-20.705055,11.526125989167397,0.45307922
-20.142523,-20.171658,11.686145526596794,0.0374552
-23.795618,-23.795885,11.4795296169757,0.6400596
-20.857178,-20.840689,11.555342976551602,0.002193004
-23.36882,-23.363745,11.53283641217332,0.48311755
-20.494932,-20.515697,11.441825697109616,0.75136626
-21.637667,-21.53147,11.286498212597401,0.61016977
-23.718386,-23.849226,11.65626730456128,0.7885621
-23.496609,-23.607527,11.909749795179868,0.6688657
-23.687433,-23.758522,11.894492710778763,0.5180494
-20.662825,-20.717653,11.759074981806256,5.797264e-06
-23.292276,-23.429337,11.863721977714974,0.5674425
-21.211796,-21.254034,11.62132690135849,0.0069762766
-23.507265,-23.617828,11.663541069478809,0.5877657
-23.199566,-23.217306,11.454908041454953,0.55324626
-20.174809,-20.16986,11.3910891082336,0.4050023
-23.637032,-23.728418,11.754477536849588,0.41878378
-23.501255,-23.622004,11.817665584356162,0.0028050542
-23.498394,-23.53906,11.669330904134007,0.6764074
-23.164528,-23.182669,11.569401869482391,0.5633324
-22.884993,-22.93164,11.80098848953815,0.1913524
-20.181715,-20.272186,11.86972389740277,0.0005764961
-22.0595,-22.031578,11.427278621707163,0.5672499
-22.363485,-22.37256,11.559241109116345,0.5815102
-21.573606,-21.597912,11.631688545324854,0.46660054
-21.925783,-21.958925,11.659789866764433,0.44825768
-21.13325,-21.18653,11.611636391106913,0.00047451258
-21.513361,-21.509333,11.502361296812982,0.63371116
-20.595453,-20.554773,11.773474399794587,0.294084
-22.035051,-22.055672,11.57111095517294,0.56332964
-19.826084,-19.816525,11.555312117775891,0.0037220418
-23.77251,-23.734276,11.411666117386957,0.21761575
-23.193707,-23.207193,11.501543946301306,0.459184
-20.650433,-20.65949,11.55948667661627,0.7482941
-22.888474,-22.989492,11.642918706864563,0.6307522
-20.926987,-20.974228,11.757954534832006,0.70177156
-23.695206,-23.734055,11.508465903861254,0.44134283
-23.611946,-23.61073,11.566101503337912,0.5551801
